Country Name,Capitol City,Population,GDP,COVID Cases,COVID Deaths,Area
Afghanistan,Kabul,38928346,20116137326,193004,7777,652230
Albania,Tirana,2877797,14887629268,327425,3582,28748
Algeria,Algiers,43851044,1.45E+11,270235,6878,2381741
Angola,Luanda,32866272,58375976293,102636,1917,1246700
Argentina,Buenos Aires,45195774,3.89E+11,9678225,129711,2780400
Armenia,Yerevan,2963243,12641209802,434398,8655,29743
Australia,Canberra,25499884,1.33E+12,10005838,13759,7692024
Austria,Vienna,9006398,4.33E+11,4951660,20628,83871
Azerbaijan,Baku,10139177,42607176471,812248,9805,86600
Bahrain,Manama,1701575,34729228723,671055,1514,765
Bangladesh,Dhaka,164689383,3.23E+11,2011560,29323,147570
Belarus,Minsk,9449323,60258239056,994037,7118,207600
Belgium,Brussels,11589623,5.22E+11,4482315,32516,30528
Belize,Belmopan,397628,1636280797,68187,680,22966
Benin,Porto-Novo,12123200,15651545332,27490,163,112622
Bhutan,Thimphu,771608,2315437338,61076,21,38394
Bolivia,Sucre,11673021,36572764863,1100112,22195,1098581
Bosnia and Herzegovina,Sarajevo,3280819,19946496563,395429,16041,51209
Botswana,Gaborone,2351627,15061922802,325864,2778,582000
Brazil,Brasilia,212559417,1.44E+12,34384747,683494,8515767
Bulgaria,Sofia,6948445,69889347433,1241273,37599,110879
Burkina Faso,Ouagadougou,20903273,17933606353,21128,387,272967
Burundi,Bujumbura,11890784,2841786382,49258,15,27834
Cambodia,Phnom Penh,16718965,25808561551,137581,3056,181035
Cameroon,Yaounde,26545863,40804449726,121652,1935,475442
Canada,Ottawa,37742154,1.65E+12,4158491,43797,9984670
Central African Republic,Bangui,4829767,2380087758,14861,113,622984
Chad,N'Djamena,16425864,10829076802,7536,193,1284000
Chile,Santiago,19116201,2.53E+11,4499223,60435,756102
China,Beijing,1439323776,1.47E+13,6366818,24766,9706961
Colombia,Bogota,50882891,2.71E+11,6299595,141519,1141748
Costa Rica,San Jose,5094118,61846895121,1088716,8856,51100
Cote d'Ivoire,Yamoussoukro,26378275,61348579465,86650,817,322463
Croatia,Zagreb,4105267,57203783203,1211979,16673,56594
Cyprus,Nicosia,1207359,24612646488,576278,1168,9251
Czech Republic,Prague,10708981,2.45E+11,4038511,40805,78865
Democratic Republic of the Congo,Kinshasa,89561403,48716960860,92633,1400,2344858
Denmark,Copenhagen,5792202,3.56E+11,3271458,6912,43094
Dominican Republic,Santo Domingo,10847910,78844702329,638500,4384,48671
Ecuador,Quito,17643054,98808010000,995111,35832,276841
Egypt,Cairo,102334404,3.65E+11,515308,24794,1002450
El Salvador,San Salvador,6486205,24638720000,190818,4221,21041
Estonia,Tallinn,1326535,30650285472,597838,2651,45227
Ethiopia,Addis Ababa,114963588,1.08E+11,493167,7571,1104300
Finland,Helsinki,5540720,2.70E+11,1258798,5577,338424
France,Paris,65273511,2.63E+12,33466622,150451,551695
Gabon,Libreville,2225734,15316826192,48635,306,267668
Georgia,Tbilisi,3989167,15846489611,1735682,16889,69700
Germany,Berlin,83783942,3.85E+12,32095854,147223,357114
Ghana,Accra,31072940,68532281806,168580,1459,238533
Greece,Athens,10423054,1.89E+11,4712025,32335,131990
Guatemala,Guatemala City,17915568,77604632171,1097563,19451,108889
Guinea,Conakry,13132795,15681050917,37470,447,245857
Haiti,Port-au-Prince,11402528,14508218017,33381,841,27750
Honduras,Tegucigalpa,9904607,23662231634,453443,10972,112492
Hungary,Budapest,9660351,1.56E+11,2036390,47191,93028
Iceland,Reykjavik,341243,21718075725,204268,179,103000
India,New Delhi,1380004385,2.66E+12,44418585,527829,3287590
Indonesia,Jakarta,273523615,1.06E+12,6349175,157521,1904569
Iran,Tehran,83992949,2.03E+11,7525628,143776,1648195
Iraq,Baghdad,40222493,1.67E+11,2456555,25343,438317
Ireland,Dublin,4937786,4.26E+11,1655338,7820,70273
Israel,Jerusalem,8655535,4.07E+11,4632026,11603,20770
Italy,Rome,60461826,1.89E+12,21814856,175407,301336
Jamaica,Kingston,2961167,13812425037,149714,3252,10991
Japan,Tokyo,126476461,5.06E+12,18632422,39253,377930
Jordan,Amman,10203134,43697659296,1735495,14110,89342
Kazakhstan,Astana,18776707,1.71E+11,1478163,19041,2724900
Kenya,Nairobi,53771296,1.01E+11,338165,5674,580367
Kosovo,Pristina,1790133,7716925356,271151,3184,10887
Kuwait,Kuwait City,4270571,1.06E+11,657395,2563,17818
Kyrgyz Republic,Bishkek,6524195,7735976273,205716,2991,199951
Latvia,Riga,1886198,33707320816,897957,5944,64559
Lebanon,Beirut,6825445,31735217785,1208681,10622,10452
Lesotho,Maseru,2142249,1875227642,34206,704,30355
Liberia,Monrovia,5057681,3201187800,7835,294,111369
Libya,Tripolis,6871292,25418916029,506768,6436,1759540
Lithuania,Vilnius,2722289,56546957475,1217300,9286,65300
Luxembourg,Luxembourg,625978,73353132794,286660,1123,2586
Madagascar,Antananarivo,27691018,13056079982,66626,1410,587041
Malawi,Lilongwe,19129952,12182348213,87718,2673,118484
Malaysia,Kuala Lumpur,32365999,3.37E+11,4778140,36206,330803
Mali,Bamako,20250833,17465392916,31337,739,1240192
Malta,Valletta,441543,14647384608,114000,801,316
Mauritania,Nouakchott,4649658,7913680231,62761,992,1030700
Mauritius,Port Louis,1271768,10920606198,256452,1023,2040
Mexico,Mexico City,128932753,1.07E+12,7014510,329390,1964375
Moldova,Chisinau,4033963,11915547263,569088,11725,33846
Mongolia,Ulan Bator,3278290,13312981595,978960,2128,1564110
Montenegro,Podgorica,628066,4769860741,275089,2771,13812
Morocco,Rabat,36910560,1.15E+11,1264342,16272,446550
Mozambique,Maputo,31255435,14019446610,230069,2220,801590
Myanmar,Nay Pyi Taw,54409800,79852046611,615030,19437,676578
Namibia,Windhoek,2540905,10619194505,166566,4074,825615
Nepal,Kathmandu,29136808,33657175561,996979,12000,147181
Netherlands,Amsterdam,17134872,9.14E+11,8383824,22598,41850
New Zealand,Wellington,4822233,2.11E+11,1722403,2795,270467
Nicaragua,Managua,6624554,12621505383,14931,244,130373
Niger,Niamey,24206644,13741378450,9329,312,1267000
Nigeria,Abuja,206139589,4.32E+11,263407,3148,923768
Norway,Oslo,5421241,3.62E+11,1459738,3953,323802
Pakistan,Islamabad,220892340,2.63E+11,1568453,30574,881912
Panama,Panama City,4314767,53977036995,978181,8470,75417
Paraguay,Asuncion,7132538,35670301496,715162,19478,406752
Peru,Lima,32971854,2.02E+11,4099785,215639,1285216
Philippines,Manila,109581078,3.61E+11,3877110,61720,342353
Poland,Warsaw,37846611,5.97E+11,6173059,117059,312679
Portugal,Lisbon,10196709,2.29E+11,5413173,24839,92090
Qatar,Doha,2881053,1.44E+11,428147,681,11586
Republic of the Congo,Brazzaville,5518087,10187122341,24775,386,342000
Romania,Bucharest,19237691,2.49E+11,3212211,66639,238391
Russia,Moscow,145934462,1.48E+12,19482648,384254,17098242
Rwanda,Kigali,12952218,10333991456,132416,1466,26338
Saudi Arabia,Riyadh,34813871,7.00E+11,813284,9292,2149690
Senegal,Dakar,16743927,24644234595,88082,1968,196722
Serbia,Belgrade,8737371,53335016425,2275675,16657,88361
Sierra Leone,Freetown,7976983,4063289450,7747,125,71740
Singapore,Singapur,5850342,3.40E+11,1834190,1591,710
Slovak Republic,Bratislava,5459642,1.05E+11,1833873,20349,49037
Slovenia,Ljubljana,2078938,53589609581,1122961,8121,20273
Somalia,Mogadishu,15893222,6965285325,27020,1361,637657
South Africa,Pretoria,59308690,3.35E+11,4011431,102084,1221037
South Korea,Seoul,51269185,1.64E+12,23142479,26689,100210
Spain,Madrid,46754778,1.28E+12,13332976,112454,505992
Sri Lanka,Colombo,21413249,80676681934,669819,16692,65610
Sudan,Khartoum,43849260,21329109522,63228,4961,1886068
Sweden,Stockholm,10099265,5.41E+11,2564423,19810,450295
Switzerland,Berne,8654622,7.52E+11,4010638,13504,41284
Tajikistan,Dushanbe,9537645,8194150302,17786,125,143100
Tanzania,Dodoma,59734218,62409709111,38712,841,945087
Thailand,Bangkok,69799978,5.02E+11,4648679,32275,513120
Togo,Lome,8278724,7574636979,38465,282,56785
Trinidad and Tobago,Port of Spain,1399488,21588037505,178687,4132,5130
Tunisia,Tunis,11818619,41620349986,1143167,29233,163610
Turkey,Ankara,84339067,7.20E+11,16671848,100400,783562
Uganda,Kampala,45741007,37600368181,168891,3628,241550
Ukraine,Kiev,43733762,1.55E+11,5044941,108803,603500
United Arab Emirates,Abu Dhabi,9890402,3.59E+11,1014387,2341,83600
United Kingdom,London,67886011,2.76E+12,23493327,187761,242900
United States,Washington,331002651,2.10E+13,92953690,1033207,9372610
Uruguay,Montevideo,3473730,53628827440,979160,7445,181034
Uzbekistan,Tashkent,33469203,59929951114,243784,1637,447400
Vietnam,Hanoi,97338579,2.71E+11,11405711,43113,331212
Zambia,Lusaka,18383955,18110631358,332527,4016,752612
Zimbabwe,Harare,14862924,18051170799,256708,5593,390757